code,name,reason,geoname_ids
ADFMO,La Farga de Moles,no explicit link,
AEDAS,Das Island,conflicting or missing match,292274
AEFAT,Fateh Terminal,no explicit link,
AEIND,Indooroodilly,no explicit link,
AEJEA,Jebel Ali,conflicting or missing match,8469747;8469749
AEKHA,Khalidia,conflicting or missing match,8476505
AEMUB,Mubarek Terminal,no explicit link,
AFDAZ,Darwaz,conflicting or missing match,1131591
AFKBL,Kabul,conflicting or missing match,1138958;1454002
AFKUR,Kuran-O-Munjan,conflicting or missing match,9031064
AFSGA,Sheghnan,conflicting or missing match,1125427;7730739
AFURN,Urgoon,conflicting or missing match,1434136;7053782
AGANU,Antigua,conflicting or missing match,3575954;3576396
AGBBQ,Barbuda,conflicting or missing match,3576396
AIROA,The Road,no explicit link,
AIWLL,Wall Blake,conflicting or missing match,3573371
AOKTI,Kiame Terminal,no explicit link,
AOLIE,Lieura,no explicit link,
AOPAT,Palanca Terminal,no explicit link,
AOSZA,Soyo,conflicting or missing match,2236967;7668254
AOSOQ,Soyo-Quinfuquena Terminal,conflicting or missing match,12196068
AOTAK,Takula Terminal,no explicit link,
ARATU,Atucha,conflicting or missing match,3433312
ARCLX,Clorinda,conflicting or missing match,3435365
ARCRD,Comodoro Rivadavia,conflicting or missing match,3860443;11525598
ARCOC,Concordia,conflicting or missing match,3435261;11525586
ARCUA,Cuatreros/Bahia Blanca,conflicting or missing match,3855120
ARAEP,Jorge Newbury Apt/Buenos Aires,conflicting or missing match,6301847
ARMDX,Mercedes,conflicting or missing match,7730769
ARMJR,Miramar,conflicting or missing match,3430669
ARXOS,Mosconi,conflicting or missing match,3855116;6300559
ARPBG,Puerto Belgrano/Bahia Blanca,conflicting or missing match,3840114;11525567
ARPGV,Puerto Galvan/Bahia Blanca,conflicting or missing match,3840099
ARPNL,Puerto Nacional/Bahia Blanca,no explicit link,
ARRAM,Ramallo,conflicting or missing match,3839444;11525583
ARRDS,Rincon de los Sauces,conflicting or missing match,7730147
ARSLO,San Lorenzo,conflicting or missing match,3837097;11525591
ARSMT,San Mateo,no explicit link,
ARXPD,San Pedro,conflicting or missing match,3836772;8298731
